           0           0   0.0000000000000000        0.0000000000000000     
           5           0   0.0000000000000000        0.0000000000000000     
          10           0   0.0000000000000000        0.0000000000000000     
          15           0   0.0000000000000000        0.0000000000000000     
          20           0   0.0000000000000000        0.0000000000000000     
          25           0   0.0000000000000000        0.0000000000000000     
          30           0   0.0000000000000000        0.0000000000000000     
          35           0   0.0000000000000000        0.0000000000000000     
          40           0   0.0000000000000000        0.0000000000000000     
          45           0   0.0000000000000000        0.0000000000000000     
          50           0   0.0000000000000000        0.0000000000000000     
          55           0   0.0000000000000000        0.0000000000000000     
          60           0   0.0000000000000000        0.0000000000000000     
          65           0   0.0000000000000000        0.0000000000000000     
          70           0   0.0000000000000000        0.0000000000000000     
          75           0   0.0000000000000000        0.0000000000000000     
          80           0   0.0000000000000000        0.0000000000000000     
          85           0   0.0000000000000000        0.0000000000000000     
          90           0   0.0000000000000000        0.0000000000000000     
          95           0   0.0000000000000000        0.0000000000000000     
           0           1 -0.65099518576805515       0.12257238155455319     
           5           1 -0.80938753143300346       0.30001926938583168     
          10           1 -0.27697958951300450        3.6251334298853521E-002
          15           1 -0.99049877691825827        1.4850985835968000     
          20           1 -0.65130942374480583        2.3453745887636046E-002
          25           1 -0.73140956001083168       0.57660778939871982     
          30           1  -1.0959709199909184        3.0021254864287528E-002
          35           1  -1.2365866639996170       0.42089068705286614     
          40           1 -0.39425123009806384       0.24349712089088982     
          45           1  -1.5439146051576813       0.21350574477607687     
          50           1  -1.2807513708068541      -0.26101388128974001     
          55           1 -0.67182437700097353       0.64446019932273835     
          60           1 -0.61984841746465236        2.1394308189481848E-002
          65           1 -0.96125514581046900       0.56893223147391758     
          70           1  -1.5977469305283876      -0.45433568370167876     
          75           1  -1.3058683089184342       0.50072056390293440     
          80           1  -1.5090332125566874       0.13567391493163328     
          85           1 -0.62039356251375466       -2.1170166529005385     
          90           1 -0.39819219765035996      -0.26929592166435867     
          95           1 -0.45874119479094588        1.0218713090937026     
           0           2  -2.6263674538096193       0.40627973352691527     
           5           2  -2.4308499325575994      -0.57969010136771359     
          10           2  -1.7558094698788551        6.5530245914047214E-002
          15           2  -3.0854599071972189       0.57320504604829736     
          20           2  -2.3831477018632086       0.16600418743850653     
          25           2  -2.4799681630938153       0.56085269595440579     
          30           2  -2.1559080657951313       0.24712361928136417     
          35           2  -2.4031502532295690      -0.41993738423284910     
          40           2  -1.9388877749548783       0.11794494792605192     
          45           2  -2.1832828333856469       0.54008061798116458     
          50           2  -1.9784004058109872        2.9337512315041891E-002
          55           2  -1.4893650810421377        1.3799512625989330     
          60           2  -1.5844999563441320       0.33681319862699510     
          65           2  -1.8842452255540820       0.50819958147485522     
          70           2  -2.1446479139086705      -0.20229465202525887     
          75           2  -2.1966812507656641        1.1058970904298526     
          80           2  -1.8462476503344760      -0.32225553764586579     
          85           2  -2.1322230249865015      -0.28300077507426025     
          90           2  -2.5876559419657497       0.75424497583798100     
          95           2  -2.2620226640412966       0.55882738226875617     
           0           3  -2.5891131136451806       0.36181912601573885     
           5           3  -2.6659340271484311       0.41754941447980087     
          10           3  -2.3635152365919510       -5.4285089474692683E-002
          15           3  -2.3882657166840460       -5.9342517202409795E-002
          20           3  -2.2967921832162119       0.30149587756378438     
          25           3  -2.2499907828787968       0.21518770566331114     
          30           3  -2.4499576270464729      -0.13421265100177493     
          35           3  -2.4064936009793314       0.22087158826122888     
          40           3  -2.1408595074490222       0.18382575385889055     
          45           3  -2.1102300841846500        3.8643328568177537E-002
          50           3  -2.0258112257209859        2.5956001026283815E-002
          55           3  -1.4462315324692554       0.32210951487199324     
          60           3  -1.4696757595800136       0.69386442467900267     
          65           3  -1.2651287865139693       0.19420117877144705     
          70           3  -2.0437652971594389      -0.18821566556193048     
          75           3  -2.5857762021530561      -0.12759855441579759     
          80           3  -2.4929522939487470       -5.0741563293321690E-002
          85           3  -2.0294834062895006      -0.56909985377551209     
          90           3  -2.3761981906034180       0.13795732574095609     
          95           3  -2.5572051398370377       0.58930760730158127     
           0           4  -2.5915011781380004       0.61015115513374241     
           5           4  -2.5314430561662604       0.40457821928185922     
          10           4  -2.3755208383402504        7.8524122364420634E-002
          15           4  -2.2354231488819210       0.15019361315538049     
          20           4  -2.2827451691398437       0.43066569746397221     
          25           4  -2.3244623892360039       0.23480838228895351     
          30           4  -2.4347427009274725      -0.14893318829312108     
          35           4  -2.3418246070150417       -1.7591340837341818E-002
          40           4  -2.1378467092247888       0.34934017057342004     
          45           4  -2.2305521467913536        8.9921949260052259E-002
          50           4  -1.9772037779119955       -6.6542062389096657E-002
          55           4  -1.6465647518160154       0.30438723643388954     
          60           4  -1.6812389828402274       0.76399165394480661     
          65           4  -2.9426941514998362       0.59680114026683384     
          70           4  -3.7103081449885167        2.1829550105323392E-002
          75           4  -2.7447955255155421      -0.20232578763046405     
          80           4  -1.9736339989862017      -0.74715887051546304     
          85           4  -2.2604616385990539      -0.56614563096690773     
          90           4  -2.4594608968442344       0.55431232837133138     
          95           4  -2.2930853334912626       0.42835621133274771     
           0           5  -5.0579762287270018       0.65383744522140574     
           5           5  -5.0081846875071889       0.70635350217784776     
          10           5  -4.5714176400490913       0.92264669744768213     
          15           5  -4.5911976100754259       0.59821507517821004     
          20           5  -4.6545264984132473       0.66250369253673114     
          25           5  -4.8222752514526235       0.93183288221609928     
          30           5  -4.6790356322112814       -6.1790373648840102E-002
          35           5  -4.5517096527802892      -0.18646916516207312     
          40           5  -4.3030313254632802       0.66335828229568961     
          45           5  -4.2540680129476982       0.13614280526041966     
